,,,,,,,,,
KAMAK ASSOCIATES,,,,,,,,,
LIST OF Items   PERIOD FROM 01-04-2024 TO 14-10-2024,,,,,,,,,
,,,,,,,,,
S.No,Item Code,Item Name,Group,Brand,Model,MRP,Net Sal Qty,Close Qty,Close Val
200,33992IN-4FP-CP,KOHLER 33992IN-4FP-CP APT FLUX CON. DIV UPPER TRIM,CP,KOHLER,APT FLUX,2240,,1,
201,33995IN-CP,KOHLER 33995IN-CP APT BATH SPOUT,CP,KOHLER,APT,1640,,2,
202,33999IN-4ND-CP,KOHLER 33999IN-4ND-CP APT CURVE BASIN MIXER,CP,KOHLER,APT CURV,4260,,1,
203,34038IN-4ND-CP,KOHLER 34038IN-4ND-CP APT CURV TALL BASIN MIXER,CP,KOHLER,APT CURV,5980,,1,
204,34040IN-4-CP,KOHLER 34040IN-4-CP APT CURV TALL PILLAR COCK,CP,KOHLER,APT CURV,2880,,5,
205,34042IN-CP,KOHLER 34042IN-CP APT ROUND SHOWER HEAD,CP,KOHLER,APT,2650,,2,
206,34067IN-4-CP,KOHLER 34067IN-4-CP APT FLUX PILLAR COCK,CP,KOHLER,APT FLUX,2270,2,1,
207,34073IN-4ND-CP,KOHLER 34073IN-4ND-CP APT FLUX TALL BASIN MIXER,CP,KOHLER,APT FLUX,5980,,1,
208,34251IN-0,KOHLER 34251IN-0 APT BOWL BASIN 550MM,SANITARY,KOHLER,APT,7600,,1,
209,3983IN-S-0,KOHLER 3983IN-S-0 REACH ONE PIECE CLOSET WITH SEAT COVER,SANITARY,KOHLER,REACH,23000,,2,
210,4108IN-0(LUX),KOHLER  4108IN-0(LUX) C3-230 BIDET SEAT,SANITARY,KOHLER,BIDET,108000,,1,24552.71
211,4177IN-M-CP,KOHLER 4177IN-M-CP DROPLET PUSH PLATE,CP,KOHLER,DROPLET,1700,,1,
212,4187IN-WD-0,KOHLER 4187IN-WD-0 PATIO WALVIT PAN,SANITARY,KOHLER,Primary,7500,5,2,
213,45432IN-CP,KOHLER 45432IN-CP(POP) GRID DRAIN W OVERFLOW HOLE,CP,KOHLER,GRID,900,3,2,413.62
214,5413IN-P-CP(PRE),KOHLER 5413IN-P-CP(PRE) PEBBLE FACEPLATE POLISHED CHROME,CP,KOHLER,Primary,2800,,1,1662.99
215,5583IN-1 WH-0,KOHLER 5583IN-1 WH-0 BRIVE PLUS WALL HUNG BASIN,SANITARY,KOHLER,Primary,3850,,1,
216,6088IN-K4,KOHLER 6088IN-K4 REPLAY WALL HUNG CLOSET CASHMERE,SANITARY,KOHLER,REPLAY,18860,,2,
217,6091IN-K4,KOHLER 6091IN-K4 REPLAY QC SEAT COVER CASHMERE,SANITARY,KOHLER,REPLAY,6400,,2,
218,72275IN-4ND-BV,KOHLER 72275IN-4ND-BV ALEO BASIN MIXER BRONZE,CP,KOHLER,ALEO,17500,,1,
219,72288IN-4-CP,KOHLER 72288IN-4-CP ALEO PILLAR COCK,CP,KOHLER,Primary,5700,,2,
220,72312IN-4ND-BL,KOHLER 72312IN-4ND-BL ALEO BASIN MIXER BLACK,CP,KOHLER,ALEO,20300,,1,
221,72328IN-4FP-CP,KOHLER 72328IN-4FP-CP ALEO+ UPPER TRIM,CP,KOHLER,Primary,9090,,2,
222,72337IN-4ND-CP,KOHLER 72337IN-4ND-CP ALEO+ TALL BASIN MIXER W/O DRAIN,CP,KOHLER,ALEO,18130,,1,
223,7275IN-CP,KOHLER 7275IN-CP COMPLEMENTARY FLOOR DRAIN,CP,KOHLER,COMPLEMENTARY,2000,,10,
224,73037IN-CL-CP,KOHLER 73037IN-CL-CP RAINDUET ROUND SHOWER HEAD,CP,KOHLER,Primary,10500,,1,
225,7314IN-CP,KOHLER 7314IN-CP(POP) BOTTLE TRAP 300MM,CP,KOHLER,Primary,2600,,5,7128.4
226,73199IN-CP(PRE),KOHLER 73199IN-CP(PRE) RAINDUET SQUARE 203MM RAIN HEAD,CP,KOHLER,Primary,9900,,1,5879.81
227,75201IN-CP,KOHLER 75201IN-CP AQUA TURBO CON. DIV BODY,CP,KOHLER,AQUA,4200,,2,
228,75376IN-1-0,KOHLER 75376IN-1-0 TRACE VESSEL WITH TAP HOLE,SANITARY,KOHLER,TRACE,12000,,2,
229,75823IN-CP(POP),KOHLER 75823IN-CP(POP) BOTTLE TRAP 350MM,CP,KOHLER,Primary,2600,,6,10451.64
230,75890IN-P-AF(PRE),KOHLER 75890IN-P-AF(PRE) LYNK PNEUMATIC PUSH PLATE FRENCH GO,CP,KOHLER,LYNK,5600,,1,3807.56
231,75890IN-P-CP(PRE),KOHLER 75890IN-P-CP(PRE) LYNK PNEMATIC PUSH PLATE CHROME,CP,KOHLER,LYNK,2800,3,4,6296.12
232,76465IN-BL,KOHLER 76465IN-BL AWAKEN SHOWER HEAD BLACK,CP,KOHLER,AWAKEN,34700,,1,
233,76601IN-K4,Kohler 76601in-k4 Kankara Vessel Bowl Cashmere,SANITARY,KOHLER,KANKARA,19550,,2,
234,80158IN-9AV-CP,KOHLER 80158IN-9AV-CP(POP) COMPLEMENTARY ANGLE VALVE,CP,KOHLER,COMPLEMENTARY,1430,,21,14780.43
235,81146-DA1(LUX),Kohler 81146-da1(lux) Maxstow Mirrored Cabinet,CP,KOHLER,Primary,19990,,1,
236,8196IN-0,KOHLER 8196IN-0 PURECLEAN BIDET SEAT COVER,SANITARY,KOHLER,Primary,11050,,1,
237,882IN-CP(POP),KOHLER 882IN-CP(POP) AQUA TURBO 235 MANUAL VALVE,CP,KOHLER,Primary,5000,,7,19006.26
238,9040IN-CP(POP),KOHLER 9040IN-CP(POP) HANDSHOWER BRACKET,CP,KOHLER,Primary,900,,1,381.45
239,97258IN-CP,KOHLER 97258IN-CP ELATE HEALTH FAUCET,CP,KOHLER,Primary,3900,,6,
240,98444IN-CP(PRE),KOHLER 98444IN-CP(PRE) SPATULA HAND SHOWER SMALL WITH HOSE,CP,KOHLER,SPATULA,4690,,3,7928.82
241,98755IN-4-CP(POP),KOHLER 98755IN-4-CP(POP) JULY 2 IN 1 WALL MIXER,CP,KOHLER,JULY COMFORT,7890,1,2,
242,99054IN-CP(POP),KOHLER 99054IN-CP(POP) SHOWER ARM WITH ESCUTCHEON,CP,KOHLER,Primary,960,,2,1221.82
243,99060IN-CP(POP),KOHLER 99060IN-CP(POP) JULY BATH SPOUT W/O DIVERTER,CP,KOHLER,JULY COMFORT,2660,,1,1692.68
244,99061IN-AF(PRE),KOHLER 99061IN-AF(PRE) ALEO WM BATH SPOUT W/O DIVERTER,CP,KOHLER,ALEO,5500,,1,1416.5
245,99061IN-BL,KOHLER 99061IN-BL ALEO BATH SPOUT W/O DIV BLACK,CP,KOHLER,Primary,6160,,2,
246,17629T-NS-0,KOHLER OVE ONE PIECE CLOSET W/O SEAT COVER,SANITARY,KOHLER,OVE,18000,,2,
247,P16316IN-4FP-CP,KOHLER P16316IN-4FP-CP JULY SHOWER UPPER TRIM,CP,KOHLER,JULY COMFORT,4100,,1,
248,WT36,LONG BODY BIP TAP,CP,WATER-TEC,M-HANDLE,426,15,6,1458.00
249,UA08,M-seal Tape,Primary,Primary,Primary,35,,1,18.39
250,C0117CS1C,PARRYWARE C0117CS1C UTSAV PAN XL 580MM WH,SANITARY,PARRYWARE,Primary,2300,6,4,4924.00
251,C01291C(NMS),PARRYWARE C0129 RIMFREE ORISSA PAN 500MM-WHITE,SANITARY,PARRYWARE,RIMFREE,1820,42,9,7876.35
252,C0133CS1C,Parryware C0133cs1c Utsav Pan 500mm White,SANITARY,PARRYWARE,UNISET,2180,46,8,9368.00
253,C02101C,PARRYWARE C02101C FLAIR WALL HUNG CLOSET WHITE,SANITARY,PARRYWARE,FLAIR,7650,3,2,7321.86
254,C022K1C,PARRYWARE C022K1C CARDIFF R/L WALVIT PAN,SANITARY,PARRYWARE,CARDIFF,9490,3,1,5080.00
255,C022N1C,PARRYWARE C022N VERVE WALL HUNG CLOSET WITH SEAT COVER,SANITARY,PARRYWARE,VERVE AM,14210,5,12,92098.8
256,C022R1C,PARRYWARE C022R1C ALPHA SINGLE PIECE S-220MM,SANITARY,PARRYWARE,ALPHA,11490,13,1,
257,C022U1C,PARRYWARE C022U1C LUCO WALVIT PAN,SANITARY,PARRYWARE,LUCO,14500,5,4,28229.16
258,C022V46,PARRYWARE C022V46 PLUTO SINGLE PICE,SANITARY,PARRYWARE,PLUTO,12650,,2,
259,C022W1C,PARRYWARE C022W1C CASA WALL HUNG CLOSET W SOFT CLOSE S.C,SANITARY,PARRYWARE,CASA,8390,17,3,12596.58
260,C022X1C,PARRYWARE C022X1C CASA F/M CLOSET WITH SEAT COVER WHITE,SANITARY,PARRYWARE,CASA,5730,3,2,5790.22
261,C022Y1C,PARRYWARE C022Y1C CASA WALL HUNG CISTERN SET W FITTINGS,SANITARY,PARRYWARE,CASA,4580,17,3,6720.63
262,C022Z1C,PARRYWARE C022Z1C CASA F/M CISTERN SET WHITE,SANITARY,PARRYWARE,CASA,3060,3,2,3116.5
263,C023H1C,PARRYWARE C023H1C PRIMO WALVIT PAN W S.C,SANITARY,PARRYWARE,PRIMO,6720,,1,3598.00
264,C02521C,PARRYWARE C02521C NIAGARA EWC S TRAP WHITE,SANITARY,PARRYWARE,NIAGARA,3520,12,3,5010.75
265,C025A1C,PARRYWARE C025A1C GAMMA SINGLE PIECE S-220MM,SANITARY,PARRYWARE,Primary,10990,11,2,
266,C02651C,PARRYWARE C02651C [1] Indus Wall Hung Closet White,SANITARY,PARRYWARE,INDUS,6360,9,3,9646.17
267,C02781C,PARRYWARE C02781C ELITE P TRAP EUROWATER CLOSET WHITE,SANITARY,PARRYWARE,ELITE P TRAP,2720,22,10,13476.7
268,C02971C,PARRYWARE C02971C EWC S TRAP ULTRA WHITE,SANITARY,PARRYWARE,ELITE S TRAP,2720,139,22,29648.74
269,C02974H,PARRYWARE C02974H ELITE S TRAP EUROWATER CLOSET MOON IVORY,SANITARY,PARRYWARE,ELITE S TRAP,3810,1,1,1880.2
270,C03201C,PARRYWARE C03201C SUTRA PEDESTAL,SANITARY,PARRYWARE,SUTRA,1940,-4,3,1581.87
271,C03241C,PARRYWARE C03241C NOVAL PEDESTAL LONG,SANITARY,PARRYWARE,NOVA,1640,3,2,1555.84
272,C03791C,PARRYWARE C03791C CASA NXT SHORT PEDESTAL ULTRA WHITE,SANITARY,PARRYWARE,CASCADE NXT,1380,4,5,3408.00
273,C04041C,Parryware C04041c Casa Wash Basin White 570*440,SANITARY,PARRYWARE,CASA,1860,19,4,3627.24
274,C04081C,Parryware C04081c Corner Wash Basin,SANITARY,PARRYWARE,CORNER,1900,18,7,6487.88
275,C041D1C,PARRYWARE C041D1C ZEST BASIN WHITE 565x410MM,SANITARY,PARRYWARE,ZEST,3280,4,3,4806.78
276,C041F1C,PARRYWARE  C041F1C PRISTINE IV BOWL BASIN,SANITARY,PARRYWARE,Primary,4240,,1,
277,C041J1C,PARRYWARE C041J1C INSLIM 390 BOWL BASIN WHITE,SANITARY,PARRYWARE,INSLIM 390,6520,1,1,3572.53
278,C041L1C,PARRYWARE C041L1C INSLIM 515 BOWL BASIN,SANITARY,PARRYWARE,INSLIM 515,8460,2,2,9478.18
279,C041M1C,PARRYWARE C041M1C INSLIM 540 BOWL BASIN,SANITARY,PARRYWARE,INSLIM 540,9190,1,2,10053.42
280,C041X1C,PARRYWARE C041X1C SUTRA WALL HUNG BASIN WHITE,SANITARY,PARRYWARE,SUTRA,2100,17,6,5960.52
281,C04251C,PARRYWARE C04251C MAESTRO BELOW COUNTER WHITE,SANITARY,PARRYWARE,MAESTRO,2360,8,3,3440.19
282,C042I1C,PARRYWARE C042I CRAVEN BASIN,SANITARY,PARRYWARE,CRAVEN,2410,9,4,4362.64
283,C042J1C,PARRYWARE C042J HELIX BASIN,SANITARY,PARRYWARE,HELIX,1960,29,5,4731.95
284,C042K1C,PARRYWARE C042K1C VIBGYOR BOWL BASIN WHITE,SANITARY,PARRYWARE,VIBGYOR,5040,4,2,2664.22
285,C042L1C,PARRYWARE C042L1C UNO WALL HUNG BASIN,SANITARY,PARRYWARE,UNO,1550,38,6,4222.98
286,C042M1C,PARRYWARE C042M NOVEL-NUBRA WASH BASIN,SANITARY,PARRYWARE,NOVEL-NUBRA,1920,14,5,4813.8
287,C042N1C,PARRYWARE C042N NOVAL NUBRA WASH BASIN,SANITARY,PARRYWARE,NOVEL-NUBRA,2090,15,3,2980.26
288,C042Q1C,PARRYWARE C042Q1C COOPER WASH BASIN,SANITARY,PARRYWARE,Primary,1890,1,4,3256.00
289,C04311C,PARRYWARE C04311C CASCADE NXT COUNTER TOP WASH BASIN,SANITARY,PARRYWARE,CASCADE NXT,3750,1,3,5067.87
290,C0435R1,PARRYWARE C0435R1 GRAVINA BASIN,SANITARY,PARRYWARE,GRAVINIA,1995,,1,904.00
291,C043Q1C,PARRYWARE C043Q1C POLAR WALL HUNG BASIN,SANITARY,PARRYWARE,Primary,1580,7,5,
292,C04401C,PARRYWARE C04401C HAWANA N BELOW COUNTER BASIN,SANITARY,PARRYWARE,Primary,2750,1,2,1517.54
293,C04541C,Parryware C04541c Zest Plus Bowl,SANITARY,PARRYWARE,Primary,2550,3,4,
294,C04711C,PARRYWARE C04711C CTH INDUS WASH BASIN 500*400 ULTRA WHITE,SANITARY,PARRYWARE,INDUS,1840,19,7,6454.28
295,C04761C,PARRYWARE C04761C CASCADE CLASSIC WALL HUNG BASIN 500*395,SANITARY,PARRYWARE,CASCADE,1620,19,6,4641.24
296,C04771C,PARRYWARE C04771C FLAIR BOWL BASIN 450*450,SANITARY,PARRYWARE,FLAIR,3890,,1,
297,C07161C,PARRYWARE C07161C VERVE WALL HUNG CISTERN WHITE,SANITARY,PARRYWARE,VERVE,7240,5,12,41902.44
298,C07681C,PARRYWARE C07681C FLAIR WALL HUNG CISTERN SET WHITE,SANITARY,PARRYWARE,FLAIR,5910,3,2,5641.64
299,C07691c,Parryware C07691c Indus Cistern Set Including Fittings White,SANITARY,PARRYWARE,INDUS,5550,9 Set,3 Set,8409.84
300,C801599,PARRYWARE C081599 CASCADE WALVIT PAN COLORLESS,SANITARY,PARRYWARE,CASCADE,390,13,6,1255.2
301,C21041C,PARRYWARE C2104 SMALL P TRAP WHITE,SANITARY,PARRYWARE,SMALL,380,98,6,1141.62
302,C502099,PARRYWARE C502099 ORCHID WATER HEATER 10L,SANITARY,PARRYWARE,ORCHID,11500,4,1,6291.53
303,C502199,PARRYWARE C502199 ORCHID WATER HEATER 15L,SANITARY,PARRYWARE,ORCHID,12500,4,1,6839.17
304,C790299,PARRYWARE C790299 NIAGARA/INDUS INLET ASSEMBLY,SPARES,PARRYWARE,NIAGARA/INDUS,350,,2,333.68
305,C815299,PARRYWARE C815299 SUMO BOLT FIXING SET,CP,PARRYWARE,SUMO,400,54,9,1990.35
306,C844S46,PARRYWARE C844S46 QUBE X SEMI RECESSED BASIN,CRESTIA,PARRYWARE,Primary,9110,,1,
307,C847P46,PARRYWARE C847P46 PETAL BASIN WITH PEDESTAL  460mm,CRESTIA,PARRYWARE,PETAL,12550,,1,6112.94
308,C857272,PARRYWARE C857272 ECO SERIES FLAT EDGE MATT 24*18*9,SANITARY,PARRYWARE,ECO SERIES,7050,28,1,3671.87
309,C857372,PARRYWARE C857372 ECO SERIES SINGLE BOWL WITH DRAIN BOARD,SANITARY,PARRYWARE,ECO SERIES,9530,4,3,14737.98
310,C864046,PARRYWARE C864046 CLARET R/L SINGLE PIECE S 220MM,SANITARY,PARRYWARE,CLARET,12490,,2,
311,C864446,PARRYWARE C864446 CRYSTAL SINGLE PIECE S 220MM,SANITARY,PARRYWARE,Primary,13490,2,3,
312,C865346,PARRYWARE C865346 AQUA BOWL BASIN,SANITARY,PARRYWARE,Primary,2790,1,2,
313,C865946,Parryware C865946 Glide Bowl Basin,SANITARY,PARRYWARE,Primary,5900,,1,
314,C866046,PARRYWARE C866046 TEJAS WASH BASIN,SANITARY,PARRYWARE,Primary,3660,,1,
315,C867B99,PARRYWARE C867B99 GLIDE SHOWER PANEL 1400X200MM,CP,PARRYWARE,Primary,44990,,1,
316,C868B99,Parryware C868b99 Quest Shower Panel 1600x180mm,CP,PARRYWARE,Primary,29990,,1,
317,C870146,PARRYWARE C870146 MONTE WALL HUNG BASIN,SANITARY,PARRYWARE,Primary,1590,,6,5106.00
318,C8722A1,PARRYWARE C8722A1 ENEMELED BATH TUB WHITE 1700x700mm,SANITARY,PARRYWARE,ENEMELED,21320,,1,10987.14
319,C884099,Parryware C884099 Verve With Cascade Waterfall Showel Panel,CP,PARRYWARE,VERVE,27930,8,1,7855.01
320,C884199,PARRYWARE C884199 DAZZLE GLASS BODY SHOWER PANEL,CP,PARRYWARE,DAZZLE,27340,2,3,43434.00
321,C884646,PARRYWARE C884646 CUTE WALL HUNG WHITE,CRESTIA,PARRYWARE,CUTE,7200,3,3,10291.59
322,C884746,PARRYWARE C884746 CAMEL WALL HUNG WHITE,CRESTIA,PARRYWARE,CAMEL,8490,1,3,13457.4
323,C889546,PARRYWARE C889546 HELIX RIMLESS WALL HUNG WHITE,CRESTIA,PARRYWARE,HELIX,15500,,3,25421.64
324,C889C46,PARRYWARE C889C46 FLAVIA MAIN CABINET,SANITARY,PARRYWARE,FLAVIA,22030,1,1,11438.00
325,C889D46,PARRYWARE C889D46 CHARLOTTE MAIN CABINET,SANITARY,PARRYWARE,CHAROLTTE,20910,,2,21710.00
326,C889D99,PARRYWARE C889D99 PATRICIA MIRROR 700X500MM,SANITARY,PARRYWARE,PATRICIA,6120,1,1,3177.00
327,C889E46,PARRYWARE C889E46 PATRICIA MAIN CABINET 780X480X450,SANITARY,PARRYWARE,PATRICIA,22440,1,1,11650.00
328,C889M46,PARRYWARE C889M46 TRACY MAIN CABINET,SANITARY,PARRYWARE,TRACY,10200,,1,4535.00
329,C889M99,PARRYWARE C889M99 TRACY MIRROR,SANITARY,PARRYWARE,TRACY,2550,,1,1133.00
330,C890046,PARRYWARE C8900 REEVE SINGLE PIECE WHITE 220MM,CRESTIA,PARRYWARE,REEVE,17490,18,5,50064.55
331,C890246,PARRYWARE C8902 AQULINE SINGLE PIECE WHITE,CRESTIA,PARRYWARE,AQULINE,20490,7,1,11365.93
332,C890546,PARRYWARE C890546 INSLIM SINGLE PIECE CLOSET 290MM S TRAP,CRESTIA,PARRYWARE,INSLIM,20490,2,1,10825.09
333,C890646,PARRYWARE C8906 OMEGA SINGLE PIECE WHITE,CRESTIA,PARRYWARE,OMEGA,20490,15,4,45463.72
334,C890B46,PARRYWARE C890B46 AQUILINE 600 BOWL BASIN,CRESTIA,PARRYWARE,AQULINE,6850,,2,7277.26
335,C890C46,PARRYWARE C890C46 AQUILINE NEO BOWL BASIN,CRESTIA,PARRYWARE,AQUILINE NEO,7520,,1,3594.37
336,C890F46,Parryware C890f46 Aquiline 400 Bowl Basin,SANITARY,PARRYWARE,AQULINE,6330,1,1,
337,C890N46,PARRYWARE C890N46 VENUE SINGLE PIECE 290MM,CRESTIA,PARRYWARE,VENUE,17490,13,3,27604.98
338,C890V46,PARRYWARE C890V BLAZE RIMLESS WALVIT PAN,CRESTIA,PARRYWARE,BLAZE,14090,5,2,14202.26
339,C890W46,PARRYWARE C890W46 ARCADE RIMLESS WALVIT PAN WH,CRESTIA,PARRYWARE,ARCADE,15680,10,3,22825.08
340,C890X46,PARRYWARE C890X SUPERIO RIMLESS WALVIT PAN,CRESTIA,PARRYWARE,SUPERIO,13490,1,1,3620.75
341,C890Y46,PARRYWARE C890Y46 ELEVATE COUNTER TOP DOUBLE BOWL BASIN,SANITARY,PARRYWARE,Primary,21420,1,1,
342,C891146,PARRYWARE C891146 INSLIM ONE PIECE WALL HUNG BASIN WHITE,CRESTIA,PARRYWARE,INSLIM ONE PIECE,11640,4,1,5441.32
343,C891746,PARRYWARE C8917 JOY SINGLE PIECE CLOSET WHITE,CRESTIA,PARRYWARE,JOY,14490,4,2,15912.12
344,C891846,PARRYWARE C8918 PRIME PLUS SINGLE PIECE,CRESTIA,PARRYWARE,PRIME PLUS,15490,22,5,39014.35
345,C891L46,PARRYWARE C891L46 IMPERIAL 400 BOWL BASIN,CRESTIA,PARRYWARE,IMPERIAL,7130,8,3,5734.41
346,C891M46,PARRYWARE C891M46 IMPERIAL 500 BOWL BASIN,CRESTIA,PARRYWARE,IMPERIAL,7260,1,1,3435.79
347,C893346,PARRYWARE C8933 AMIGO WALVIT PAN WHITE,CRESTIA,PARRYWARE,AMIGO,16800,5,3,24806.67
348,C893546,PARRYWARE C893546 INSLIM RIMLESS SINGLE PIECE WHITE,CRESTIA,PARRYWARE,INSLIM,20490,11,3,32190.81
349,C894646,PARRYWARE C8946 VOLT ELECTRONIC WC-WHITE,CRESTIA,PARRYWARE,Primary,108270,,1,56384.57
350,C894A46,PARRYWARE C894A46 ROMBI BOWL BASIN,SANITARY,PARRYWARE,Primary,7990,,1,
351,C894E46,Parryware C894e46 Quad 560 Bowl Basin,SANITARY,PARRYWARE,Primary,5460,,1,2923.00
352,C894G46,PARRYWARE C894G46 CRAFT WASH BASIN,SANITARY,PARRYWARE,Primary,1820,2,1,974.00
353,C894J46,PARRYWARE C894J46 JORDON WALL HUNG CLOSET WHITE,SANITARY,PARRYWARE,Primary,16900,1,1,9245.00
354,C89537C,PARRYWARE C89537C NIGHT LIFE RIMLESS WC,CRESTIA,PARRYWARE,NIGHTLIFE,26890,1,1,7241.00
355,C895846,PARRYWARE C895846 MARVEL SINGLE PIECE P TRAP,CRESTIA,PARRYWARE,MARVEL,13990,7,1,7144.78
356,C895C46,PARRYWARE C895C46 PRIMO SINGLE PIECE 220MM WHITE,CRESTIA,PARRYWARE,PRIMO,17060,,1,9433.00
357,C895F46,PARRYWARE C895F46 BERRY SINGLE PIECE,CRESTIA,PARRYWARE,BERRY,16500,3,2,16671.46
358,C895N46,PARRYWARE C895N46 LIVA BOWL BASIN WHITE,SANITARY,PARRYWARE,Primary,8040,1,1,4048.00
359,C895P46,PARRYWARE C895P46 FABIO BOWL BASIN,SANITARY,PARRYWARE,Primary,8040,,1,4742.00
360,C895Q46,PARRYWARE C895Q46 APPY BOWL BASIN,SANITARY,PARRYWARE,Primary,7600,,1,3827.00
361,C895R46,PARRYWARE C895R46 BARISTA BOWL BASIN,SANITARY,PARRYWARE,Primary,6760,,2,6724.00
362,C895V46,PARRYWARE C895V46 JORDON BOWL BASIN,CRESTIA,PARRYWARE,Primary,4840,9,5,12165.00
363,C896046,PARRYWARE C896046 CUTE SINGLE PIECE S 220 CLOSET WHITE,CRESTIA,PARRYWARE,CUTE,8350,35,7,
364,C896446(NMS),PARRYWARE C896446 VERVE SQUAR EWC  W/SEAT COVER,CRESTIA,PARRYWARE,VERVE,4170,6,3,6097.2
365,C896646,PARRYWARE C896646 ASTER SINGLE PIECE,CRESTIA,PARRYWARE,ASTER,13990,21,1,7306.86
366,C896746,PARRYWARE C896746 OVALO SINGLE PIECE,CRESTIA,PARRYWARE,OVALO,13490,4,2,14289.6
367,C896A4G,PARRYWARE C896A4G ALICE MIRROR CABINET 500x150x680MM,SANITARY,PARRYWARE,Alice,6630,3,7,24627.54
368,C896B4G,PARRYWARE C896B4G ALICE MAIN CABINET 596x466x450MM,SANITARY,PARRYWARE,Alice,12750,3,7,46337.97
369,C896D7C,PARRYWARE C896D7C MOJO MIRROR,CRESTIA,PARRYWARE,MOJO,4790,1,3,6516.00
370,C896F7C,PARRYWARE C896F7C MOJO BASE CABINET,CRESTIA,PARRYWARE,MOJO,16830,1,3,22893.00
371,C896G46,PARRYWARE C896G46 AMARA MIRROR,CRESTIA,PARRYWARE,AMARA,2550,5,2,2312.00
372,C896I46,PARRYWARE C896I46 AMARA MAIN CABINET,CRESTIA,PARRYWARE,AMARA,11120,5,2,10084.00
373,C896J4G,PARRYWARE C896J4G LUCY MIRROR CABINET,SANITARY,PARRYWARE,LUCY,2550,5,2,2647.54
374,C896K1C,PARRYWARE C896K1C LUCY WASH BASIN,SANITARY,PARRYWARE,LUCY,2550,14,14,18532.78
375,C896L4G,PARRYWARE C896L4G LUCY MAIN CABINET,SANITARY,PARRYWARE,LUCY,11020,5,2,11438.18
376,C896P85,PARRYWARE C896P85 BLOSSOM MAIN CABINET 435x350x680MM,SANITARY,PARRYWARE,Blossom,7550,4,4,13696.00
377,C896R85,PARRYWARE C896R85 MIRROR CABINET 480x600MM,SANITARY,PARRYWARE,Blossom,1940,4,4,3516.00
378,C896S85,PARRYWARE C896S85 MIRROR CABINET 400x600MM,SANITARY,PARRYWARE,Dorro,1630,5,7,6061.3
379,C896T1C,PARRYWARE C896T1C DORRO BASIN WHITE,SANITARY,PARRYWARE,Dorro,3160,5,7,11746.56
380,C896U85,PARRYWARE C896U85 DORRO MAIN CABINET 390x400x450MM,SANITARY,PARRYWARE,Dorro,7140,5,7,26520.48
381,C897446,PARRYWARE C897446 REFINE BOWL BASIN,CRESTIA,PARRYWARE,Primary,5450,-1,2,5788.00
382,C897746,PARRYWARE C897746 FLOAT BOWL BASIN WHITE,CRESTIA,PARRYWARE,FLOAT,6570,1,2,6277.4
383,C897846,PARRYWARE C897846 QUAD BOWL BASIN WHITE,CRESTIA,PARRYWARE,QUAD,7760,1,1,3706.5
384,C897946,PARRYWARE C897946 STANZA SINGLE PIECE S-285,CRESTIA,PARRYWARE,STANZA,17560,,1,4489.51
385,C897A46,PARRYWARE C897A46 IMPERIAL 600 BOWL BASIN,CRESTIA,PARRYWARE,IMPERIAL,8190,,1,4349.00
386,C897B46,PARRYWARE C897B46 VARON WALVIT PAN,CRESTIA,PARRYWARE,VARON,14690,,2,14100.48
387,C897C46,PARRYWARE C897C46 DUNE WALL HUNG CLOSET,CRESTIA,PARRYWARE,Primary,13200,1,2,13668.00
388,C897E46,PARRYWARE C897E46 CROWN SINGLE PIECE S -220 MM,CRESTIA,PARRYWARE,CROWN,10990,6,2,11896.6
389,C897F46(NMS),PARRYWARE C897F46 VISTA WALL HUNG BASIN 480X385MM,CRESTIA,PARRYWARE,VISTA,1790,13,7,5807.2
390,C897Q46,PARRYWARE C897Q46 ATOM PRO WALL HUNG BASIN,CRESTIA,PARRYWARE,ATOM PRO,1650,37,2,1505.00
391,C897R46,PARRYWARE C897R46 ARIA MIRROR,CRESTIA,PARRYWARE,ARIA,7650,3,3,10407.00
392,C897S46,PARRYWARE C897S46 ARIA MAIN CABINET,CRESTIA,PARRYWARE,ARIA,13770,3,3,18733.5
393,C897T1C,PARRYWARE C897T1C BELLA BASIN WHITE,SANITARY,PARRYWARE,Bella,3570,24,12,20973.72
394,C897U46,PARRYWARE C897U46 LUNA MIRROR CABINET 500x700MM,SANITARY,PARRYWARE,LUNA,3260,5,4,6927.16
395,C897W46,PARRYWARE C897W46 LUNA MAIN CABINET 770x450x450MM,SANITARY,PARRYWARE,LUNA,15200,5,4,31560.08
396,C897X46,PARRYWARE C897X46 MAIN CABINET 770x450x450MM,SANITARY,PARRYWARE,Bella,13060,16,5,34640.45
397,C897Z46,PARRYWARE C897Z46 BELLA MIRROR CABINET 500x700MM,SANITARY,PARRYWARE,Bella,2860,16,5,7411.6
398,C898146,PARRYWARE C8981 REVIVE BASIN,CRESTIA,PARRYWARE,REVIVE,1950,32,4,3811.8
399,C898246,PARRYWARE C8982 RESOLUTE BASIN,CRESTIA,PARRYWARE,RESOLUTE,2000,27,5,4816.25
400,C898646,Parryware C898646 Apollo Integrated Basin,SANITARY,PARRYWARE,APOLLO,8040,,1,
401,C898A46,PARRYWARE C898A46 VINTO SMART WASH BASIN,CRESTIA,PARRYWARE,VINTO,1620,6,2,1734.00
402,C898D46,PARRYWARE C898D46 LUCO PRIME WASH BASIN WHITE,CRESTIA,PARRYWARE,LUCO PRIME,1770,2,1,947.00
